date,bases,open_access_bases,bytes,open_access_bytes
"12/28/2010",71864048785869,60791717859997,161508713913078,149780680428579
"12/29/2010",71897855500852,60825524574980,161547695328712,149819661844213
"12/30/2010",71952522764099,60880191838227,161604786295810,149876752811311
"12/31/2010",72074737644509,61002406718637,161743150987267,150015117502768
"01/01/2011",72097225495782,61024894569910,161767672893783,150039639409284
"01/03/2011",72231928835216,61159597909344,161973654842057,150245621357558
"01/04/2011",72260825925264,61187801123297,162016198709285,150285301109157
"01/05/2011",72351241234482,61276939655258,162129398880853,150393192505843
"01/06/2011",72457311362747,61363260532963,162240661227262,150484282629836
"01/07/2011",72481499493021,61387445534044,162468307491762,150711916017686
"01/08/2011",72561458126825,61467404167848,163243900305517,151487508831441
"01/09/2011",72760609476738,61666349489381,163569241931572,151811999208311
"01/10/2011",73361069459121,62265262080728,164203434181937,152439565641200
"01/11/2011",73471745444683,62375155273295,164319311822899,152552299732932
"01/12/2011",73501674021045,62405083849657,164358762896481,152591750806514
"01/13/2011",73504691826052,62408101654664,164363046182996,152596034093029
"01/14/2011",73602630010810,62504522818704,164875289782534,153101974887458
"01/15/2011",73603524225909,62505417033803,164877536130694,153104221235618
"01/16/2011",73636386349709,62538279157603,164911061993493,153137747098417
"01/17/2011",73636779530178,62538672338072,164911902494605,153138587599529
"01/18/2011",73657435748895,62559092073519,164941506919916,153167205755782
"01/19/2011",73680278165563,62581934490187,164967459344093,153193158179959
"01/20/2011",73712705355925,62614361680549,165016054320462,153241753156328
"01/21/2011",73723090021237,62624184319802,165064955249332,153288309977380
"01/23/2011",73723265187877,62624359486442,165065040138039,153288394866087
"01/24/2011",73778104939417,62678113571373,165141499012217,153359868953593
"01/25/2011",73806201154394,62705886307651,165176706278371,153393582530521
"01/26/2011",73808328147902,62708013301159,165179069998125,153395946250275
"01/27/2011",73822479292219,62722164445476,165195114466647,153411990718797
"01/28/2011",75648553053144,64546965833301,167143084372211,155358586439042
"01/29/2011",75711754578370,64610165323901,167207598685024,155423090073585
"01/31/2011",75758729404923,64657140150454,167260420354839,155475911743400
"02/01/2011",75902129473534,64800540219065,167929894168588,156145385557149
"02/02/2011",75911385748446,64809796493977,168024958988167,156240450376728
"02/03/2011",76418478617929,65316889363460,169949622412190,158165113800751
"02/04/2011",77144634875099,66043045620630,170731972042071,158947463430632
"02/05/2011",77189850531869,66088261277400,170778176668255,158993668056816
"02/06/2011",77297637177747,66196047923278,170889118069627,159104609458188
"02/07/2011",78912651505566,67811062251097,172577158875579,160792650264140
"02/08/2011",79413495810587,68311906556118,173122139850536,161337631239097
"02/09/2011",79634613487597,68533024233128,173354689590467,161570180979028
"02/10/2011",81329389462896,70125492870487,176320329761052,164493144652841
"02/11/2011",84996738635582,71848526958910,179006519149981,166318419565835
"02/12/2011",85027430711214,71879219034542,179065118516102,166377018931956
"02/13/2011",85039225211864,71891013535192,179077191234164,166389091650018
"02/14/2011",85108375000731,71960163324059,179152180369461,166464080785315
